Customer_subtype,Number_of_houses,Avg_size_household,Avg_age,Customer_main_type,Avg_Salary,label
Large religious families,1,3,40-50 years,Conservative families,48534,0
Affluent young families,1,4,30-40 years,Average Family,726651,0
"High Income, expensive child",1,4,40-50 years,Successful hedonists,34778593,0
Mixed seniors,1,3,40-50 years,Retired and Religious,34273,0
Low income catholics,1,3,50-60 years,Retired and Religious,11723,0
Lower class large families,1,3,40-50 years,Family with grown ups,24911,0
Traditional families,1,3,40-50 years,Conservative families,47193,0
Traditional families,1,4,30-40 years,Conservative families,40283,0
Career and childcare,1,3,40-50 years,Driven Growers,19242,0
Couples with teens 'Married with children',1,2,40-50 years,Family with grown ups,46423,0
High status seniors,1,2,50-60 years,Successful hedonists,22099250,0
Traditional families,1,2,40-50 years,Conservative families,48208,0
Large religious families,1,3,40-50 years,Conservative families,40370,0
Family starters,1,3,40-50 years,Average Family,18037,0
Lower class large families,2,3,40-50 years,Family with grown ups,5306,0
Large family farms,1,4,40-50 years,Farmers,12943,0
Lower class large families,2,3,40-50 years,Family with grown ups,19189,0
Traditional families,1,2,30-40 years,Conservative families,17630,0
High status seniors,1,2,50-60 years,Successful hedonists,14867282,1
High status seniors,1,1,30-40 years,Successful hedonists,42631926,0
Low income catholics,1,2,50-60 years,Retired and Religious,38556,0
"Modern, complete families",1,3,40-50 years,Average Family,18543,0
Lower class large families,1,3,40-50 years,Family with grown ups,10707,1
Dinki's (double income no kids),1,3,40-50 years,Driven Growers,36505,0
Own home elderly,1,2,60-70 years,Cruising Seniors,21040,0
"Modern, complete families",1,3,40-50 years,Average Family,25307,0
Lower class large families,1,2,50-60 years,Family with grown ups,34910,0
Mixed seniors,1,3,30-40 years,Retired and Religious,35722,0
Lower class large families,1,2,40-50 years,Family with grown ups,42372,0
Mixed seniors,1,3,40-50 years,Successful hedonists,15850,0
"Modern, complete families",1,4,30-40 years,Average Family,31077,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,21552940,0
"High Income, expensive child",1,4,40-50 years,Successful hedonists,8823795,0
Mixed seniors,1,3,30-40 years,Retired and Religious,13191,0
Middle class families,1,4,30-40 years,Driven Growers,41556,1
Lower class large families,1,3,40-50 years,Family with grown ups,29011,0
Religious elderly singles,1,2,50-60 years,Retired and Religious,44324,0
Mixed rurals,1,3,40-50 years,Farmers,25986,0
Village families,1,2,40-50 years,Family with grown ups,17451,0
Young all american family,1,4,30-40 years,Average Family,47393,0
Large religious families,1,3,40-50 years,Conservative families,49547,0
Affluent senior apartments,2,2,50-60 years,Successful hedonists,910898,0
Traditional families,1,3,40-50 years,Conservative families,35232,0
Large religious families,1,2,50-60 years,Conservative families,28662,0
Large religious families,1,3,30-40 years,Conservative families,29099,0
Lower class large families,1,2,50-60 years,Family with grown ups,31415,0
Career and childcare,1,3,30-40 years,Driven Growers,34319,0
Low income catholics,1,3,40-50 years,Retired and Religious,36626,0
Young all american family,1,4,30-40 years,Average Family,23735,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,42847,0
Etnically diverse,1,2,40-50 years,Living well,22956,0
Family starters,1,2,40-50 years,Average Family,14058,0
Mixed seniors,1,1,70-80 years,Successful hedonists,15518,0
Young and rising,1,1,30-40 years,Living well,18562,0
"Young, low educated",2,2,40-50 years,Living well,41133,0
Mixed seniors,1,2,60-70 years,Retired and Religious,36748,0
Low income catholics,1,4,40-50 years,Retired and Religious,41179,0
Lower class large families,1,3,40-50 years,Family with grown ups,25747,0
Very Important Provincials,1,3,40-50 years,Successful hedonists,39257,0
High status seniors,2,3,40-50 years,Successful hedonists,23723162,0
Young all american family,1,3,30-40 years,Average Family,32936,0
Couples with teens 'Married with children',1,2,50-60 years,Family with grown ups,45028,0
Young all american family,1,2,40-50 years,Average Family,21256,0
Young and rising,1,2,40-50 years,Living well,38957,0
"High Income, expensive child",1,3,50-60 years,Successful hedonists,37828452,0
Mixed seniors,1,3,40-50 years,Retired and Religious,36110,0
Large family farms,1,5,40-50 years,Farmers,25275,0
Low income catholics,1,3,50-60 years,Retired and Religious,28791,0
Religious elderly singles,1,2,40-50 years,Retired and Religious,32264,0
Seniors in apartments,2,2,50-60 years,Cruising Seniors,26019,0
Lower class large families,1,3,40-50 years,Family with grown ups,43214,0
Young all american family,1,3,30-40 years,Average Family,28853,0
Mixed rurals,1,3,40-50 years,Farmers,14566,0
Middle class families,1,3,40-50 years,Driven Growers,39058,0
Young and rising,1,2,30-40 years,Living well,28942,0
Young all american family,1,3,40-50 years,Average Family,21337,0
Low income catholics,1,3,40-50 years,Retired and Religious,27784,0
Traditional families,1,2,30-40 years,Conservative families,47677,0
Village families,1,2,50-60 years,Family with grown ups,21519,0
"Modern, complete families",1,3,40-50 years,Average Family,22885,0
"Modern, complete families",1,3,40-50 years,Average Family,14299,0
Lower class large families,1,2,40-50 years,Family with grown ups,38712,0
Village families,1,3,40-50 years,Family with grown ups,22089,0
Middle class families,1,2,50-60 years,Driven Growers,37395,0
"Young, low educated",1,2,40-50 years,Living well,49626,0
"Modern, complete families",1,4,40-50 years,Average Family,36374,0
Affluent senior apartments,1,2,40-50 years,Successful hedonists,312422,0
"Modern, complete families",1,3,30-40 years,Average Family,46613,0
Lower class large families,1,4,30-40 years,Family with grown ups,33537,0
"Modern, complete families",1,3,30-40 years,Average Family,24544,0
High status seniors,1,2,50-60 years,Successful hedonists,21196735,1
Middle class families,1,4,40-50 years,Driven Growers,10665,0
Mixed small town dwellers,1,2,40-50 years,Family with grown ups,26579,0
Lower class large families,1,2,40-50 years,Family with grown ups,25596,0
"Young, low educated",1,2,40-50 years,Living well,45857,0
Mixed rurals,1,4,40-50 years,Farmers,45665,0
Young and rising,1,2,40-50 years,Living well,32903,0
"High Income, expensive child",1,3,40-50 years,Successful hedonists,46911924,0
Stable family,1,3,40-50 years,Average Family,45401,0
